Datensatz,Frequenz,voltage,Energieverbrauch,avg_power
Fashion,3600,1.4,17140.91,42.47
Fashion,3000,1.3,15005.48,35.71
Fashion,2600,1.2,13721.06,31.27
Fashion,2000,1.1,13244.05,27.48
Fashion,1600,1.0,14330.18,25.08
