Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
fashion,3600,1.4,16015.64,38.01,74164.34,90179.98,17.76
fashion,3000,1.3,13658.32,32.52,75250.11,88908.43,15.36
fashion,2600,1.2,12147.33,28.87,74887.36,87034.69,13.96
fashion,2000,1.1,11796.25,25.99,76265.54,88061.79,13.4
fashion,1600,1.0,13480.22,23.64,82703.79,96184.01,14.02
