Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,1025.09,90.29
fashion,3600,1.3,1023.79,90.29
fashion,3600,1.2,1023.75,90.29
fashion,3600,1.1,1024.68,90.29
fashion,3600,1.0,0,0
