Datensatz,Frequenz,voltage,Laufzeit,Accuracy
Cifar10,3600,1.4,500.75,63.55
Cifar10,3600,1.3,498.18,63.64
Cifar10,3600,1.2,499.68,63.42
Cifar10,3600,1.1,499.36,63.3
Cifar10,3600,1.0,0,0
