Datensatz,Frequenz,voltage,Laufzeit,Accuracy
cifar,3600,1.4,1062.12,77.1
cifar,3600,1.3,1060.18,77.1
cifar,3600,1.2,1069.35,77.1
cifar,3600,1.1,1069.02,77.1
cifar,3600,1.0,0,0
