Datensatz,Frequenz,voltage,Laufzeit,Accuracy
cifar,3600,1.4,385.62,79.62
cifar,3600,1.3,386.19,79.62
cifar,3600,1.2,386.31,79.62
cifar,3600,1.1,385.23,79.62
cifar,3600,1.0,0,0
