Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
fashion,3600,1.4,17284.26,42.61,61795.27,78584.36,21.36
fashion,3600,1.3,15176.78,37.49,61587.34,76764.12,19.77
fashion,3600,1.2,13638.83,33.65,61466.85,75105.68,18.16
fashion,3600,1.1,12412.88,30.61,61275.08,73687.96,16.85
fashion,3600,1.0,0,0,,,
