Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
cifar,3600,1.4,20833.72,40.72,61266.08,81954.49,25.24
cifar,3600,1.3,18339.69,36.1,60879.3,79218.99,23.15
cifar,3600,1.2,16470.29,32.32,60857.66,77327.95,21.3
cifar,3600,1.1,14986.45,29.44,60988.51,75974.96,19.73
cifar,3600,1.0,0,0,,,
