Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
FASHION,3600,1.4,16789.09,41.69,61795.27,78584.36,21.36
FASHION,3000,1.3,15129.24,35.85,62261.78,77391.02,19.55
FASHION,2600,1.2,13877.01,31.48,63065.46,76942.47,18.04
FASHION,2000,1.1,13372.87,27.56,64618.61,77991.48,17.15
FASHION,1600,1.0,14329.31,25.05,67671.38,82000.69,17.47
