Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,398.44,89.24
fashion,3000,1.3,414.26,89.17
fashion,2600,1.2,432.15,89.33
fashion,2000,1.1,473.04,88.97
fashion,1600,1.0,561.22,89.09
