Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,417.79,92.79
fashion,3600,1.3,416.9,92.79
fashion,3600,1.2,417.23,92.79
fashion,3600,1.1,416.76,92.79
fashion,3600,1.0,0,0
