Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,1209.7,93.0
fashion,3000,1.3,1433.07,93.0
fashion,2600,1.2,1644.77,93.0
fashion,2000,1.1,2121.26,93.0
fashion,1600,1.0,2647.27,93.0
