Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
cifar,3600,1.4,34378.27,39.62,133599.16,167846.17,20.4
cifar,3600,1.3,30016.49,34.85,136344.81,166361.3,18.04
cifar,3600,1.2,27011.01,31.3,136042.12,163053.13,16.57
cifar,3600,1.1,24604.31,28.52,136058.29,160662.6,15.31
cifar,3600,1.0,0,0,,,
