Datensatz,Frequenz,voltage,Laufzeit,Accuracy
cifar,3600,1.4,386.4,79.62
cifar,3000,1.3,385.38,79.62
cifar,2600,1.2,386.67,79.62
cifar,2000,1.1,423.19,79.62
cifar,1600,1.0,529.39,79.62
