Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,1022.87,90.29
fashion,3000,1.3,1090.64,90.29
fashion,2600,1.2,1235.07,90.29
fashion,2000,1.1,1604.44,90.29
fashion,1600,1.0,2020.95,90.29
