Datensatz,Frequenz,voltage,Laufzeit,Accuracy
Cifar10,3600,1.4,499.39,61.91
Cifar10,3000,1.3,537.88,63.02
Cifar10,2600,1.2,569.85,60.69
Cifar10,2000,1.1,657.81,61.74
Cifar10,1600,1.0,773.0,62.38
