Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
fashion,3600,1.4,40622.44,39.53,160406.36,201028.8,20.21
fashion,3000,1.3,36595.29,33.44,161410.06,198005.35,18.48
fashion,2600,1.2,36474.2,29.4,169719.31,206193.51,17.69
fashion,2000,1.1,41823.28,25.96,194587.33,236410.61,17.69
fashion,1600,1.0,47682.76,23.49,217839.54,265522.3,17.96
