Datensatz,Frequenz,voltage,Energieverbrauch,avg_power,GPU-Energieverbrauch,Energieverbrauch_gpu_cpu,Cpu-Anteil-Energieverbrauch
Fashion,3600,1.4,48876.58,40.24,162605.36,211481.94,23.11
Fashion,3000,1.3,49120.05,34.14,172286.16,221406.21,22.19
Fashion,2600,1.2,49121.95,29.76,183854.47,232976.42,21.08
Fashion,2000,1.1,55250.94,25.96,196741.28,251992.22,21.93
Fashion,1600,1.0,61898.11,23.31,146120.83,208018.94,29.76
