Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,418.78,92.79
fashion,3000,1.3,417.13,92.79
fashion,2600,1.2,418.11,92.79
fashion,2000,1.1,450.95,92.79
fashion,1600,1.0,566.66,92.79
