Datensatz,Frequenz,voltage,Laufzeit,Accuracy
cifar,3600,1.4,861.4,74.36
cifar,3600,1.3,856.85,74.36
cifar,3600,1.2,858.35,74.36
cifar,3600,1.1,858.36,74.36
cifar,3600,1.0,0,0
