Datensatz,Frequenz,voltage,Laufzeit,Accuracy
cifar,3600,1.4,860.34,74.36
cifar,3000,1.3,922.3,74.36
cifar,2600,1.2,1064.1,74.36
cifar,2000,1.1,1380.77,74.36
cifar,1600,1.0,1747.05,74.36
