Datensatz,Frequenz,voltage,Laufzeit,Accuracy
fashion,3600,1.4,400.24,89.35
fashion,3600,1.3,399.48,89.42
fashion,3600,1.2,400.12,89.44
fashion,3600,1.1,400.25,89.45
fashion,3600,1.0,0,0
